iata,name,latitude,longitude
TUM,Tumut Airport,-35.26279831,148.2409973
QRR,Warren Airport,-31.73329926,147.8029938
BRT,Bathurst Island Airport,-11.76920033,130.6199951
GPN,Garden Point Airport,-11.40250015,130.4219971
PKT,Port Keats Airport,-14.25,129.529007
SNB,Snake Bay Airport,-11.42280006,130.654007
CCL,Chinchilla Airport,-26.77499962,150.6170044
CMQ,Clermont Airport,-22.7730999,147.6210022
DRN,Dirranbandi Airport,-28.5916996,148.2169952
DYA,Dysart Airport,-22.62220001,148.3639984
SIO,Smithton Airport,-40.83499908,145.0839996
FIZ,Fitzroy Crossing Airport,-18.18190002,125.5589981
HCQ,Halls Creek Airport,-18.23390007,127.6699982
WME,Mount Keith Airport,-27.28639984,120.5550003
,Goodooga Airport,-29.07329941,147.3760071
,Hillston Airport,-33.49330139,145.522995
,Ivanhoe Airport,-32.88330078,144.3099976
WIO,Wilcannia Airport,-31.52639961,143.375
,Adaminaby Airport,-35.98329926,148.8000031
,Ardlethan Airport,-34.36669922,146.8829956
,Ashford Airport,-29.31669998,151.0500031
,Baradine Airport,-30.95499992,149.0919952
,Burren Junction Airport,-30.1583004,148.9750061
,Buttabone Airport,-31.35829926,147.6329956
,Byrock Airport,-30.66670036,146.3999939
,Calga NDB,-33.403301,151.212006
CLH,Coolah Airport,-31.77330017,149.6100006
,Carinda Airport,-30.45829964,147.7079926
,Cuthero Airport,-33.03329849,142.0169983
,Dallas Airport,-34.56669998,146.1829987
,Darnick Airport,-32.88330078,143.5829926
,Euabalong Airport,-33.11669922,146.4499969
,Elengerah Airport,-31.85000038,147.9830017
,Eulalia Airport,-31.0333004,148.1750031
FLY,Finley Airport,-35.66669846,145.5500031
FOT,Forster (Wallis Is) Airport,-32.20420074,152.4790039
,Fairview Airport,-32.78900146,148.7200012
,Greenbah Airport,-30.12582779,149.4345703
,Goolgowi Airport,-34,145.7169952
,Goonoo Goonoo Airport,-31.31669998,150.9170074
,Gilgandra Airport,-31.70330048,148.6380005
,Glencoe Airport,-31.61669922,148.1999969
,Harden Airport,-34.55749893,148.3880005
,Haddon Rig Airport,-31.46879959,147.8950043
,Jemalong Airport,-32.40999985,147.6699982
QJD,Jindabyne Airport,-36.42670059,148.602005
,Kayrunnera Airport,-30.68330002,142.5330048
,Lake Keepit Airport,-30.89110342,150.5261493
,Khancoban Airport,-36.21591997,148.1137428
,Lambrook Airport,-31.10000038,149.9329987
,Miralwyn Airport,-30.149,147.327
,Mount Mcquoid NDB,-33.110001,151.138
,Mount Sandon Airport,-31.38999939,151.4100037
,Norwood Airport,-34.25,144.3329926
,Nymagee Airport,-32.04999924,146.3170013
,Pooncarie Airport,-33.36669922,142.5879974
,Cooma/Polo Flat (Unlic) Airport,-36.22999954,149.1499939
,Pilliga Airport,-30.36669922,148.8829956
,Palmers Island/Yamba Airport,-29.44580078,153.2669983
,Questa Park Airport,-30.39170074,143.1419983
,Rosehill Heliport Airport,-33.83009664,151.0241389
,Rugby Airport,-34.39170074,148.9750061
,Ravensworth Airport,-34.63330078,144.2830048
,Holsworthy (Military) Airport,-33.99499893,150.9519958
,Talbingo Airport,-35.58330154,148.2830048
,Trangie Airport,-31.9666996,148
,The Grove Airport,-34.68600082,148.1040039
,Tullamore Airport,-32.61669922,147.6000061
,Tooraweenah Airport,-31.44169998,148.8999939
,Wanaaring Airport,-29.7166996,144.1670074
,Wallabadah Airport,-31.5333004,150.8670044
,Wedderburn Airport,-34.18,150.808333
,Wellington Airport,-32.46670151,148.9830017
,White Cliffs Airport,-30.85330009,143.0720062
,Wilton Airport,-34.23329926,150.6670074
,Wee Jasper Airport,-35.26169968,148.6670074
,Williamsdale Airport,-35.55939252,149.1301775
,Weilmoringle Airport,-29.23329926,146.9329987
WEW,Wee Waa Airport,-30.25830078,149.4080048
,Yass Airport,-34.83000183,149.0420074
,Adaminaby Airport,-35.99779892,148.7960052
,Bakblok Airport,-34.88669968,149.0149994
,Bombala Airport,-36.90499878,149.1820068
,Canowindra Airport,-33.5428009,148.6629944
,Cassilis Rotherw Airport,-32.00220108,149.9609985
,Winderadeen ALA,-34.9389,149.410004
,Corona Station Airport,-31.29080009,141.4519958
,Delegate Airport,-37.06140137,148.9420013
,Dunmore Manila Airport,-30.65810013,150.875
,Elderslie Airport,-32.59970093,151.3399963
,Federation Hsd Airport,-35.01169968,147.3739929
,Heathcote Emergency Airport,-31.24029922,151.4320068
,Kelvin Station Airport,-30.65500069,151.6380005
,Oxley Station Airport,-31.01329994,147.7109985
,Premer Betoota Airport,-31.4769001,149.9029999
,Quambone Royona Airport,-30.87919998,147.8419952
,Taralga Grathawa Airport,-34.28919983,149.7819977
,Upper Horton Wyl Airport,-30.10470009,150.404007
,Woodville Airport,-30.41609955,151.7550049
,Wonnaminta Stat Airport,-30.65110016,142.3419952
,Woodside Au Airport,-35.13330078,145.6670074
,Allandy Airport,-30.38330078,142.6000061
,Braidwood Airport,-35.45000076,149.8500061
,Boolcarrol Station Airport,-30.04999924,149.4170074
,Beechworth Airport,-31.91670036,144.6329956
,Blackville Airport,-31.58329964,150.1829987
,Breeza Airport,-31.31669998,150.5169983
,Collymongle Airport,-29.45330048,148.7429962
,Collector Airport,-34.88330078,149.4170074
,Conargo Airport,-35.31669998,145.1170044
,Engonnia Airport,-29.31669998,145.8329926
,Greenthorpe Airport,-33.98329926,148.4170074
,Milton Airport,-35.32080078,150.4389954
,Langawirra Airport,-31.45000076,142.1329956
,Leeton Airport,-34.499788,146.446646
,Menindee Airport,-32.36669922,142.4049988
,Mullaley Airport,-31.10000038,149.9170074
,Monolon Airport,-30.20000076,143.2330017
,Tandou Lake Airport,-32.63330078,142.0829926
,Tambar Springs Airport,-31.31500053,149.8470001
,Tuncurry Airport,-32.15000153,152.4830017
,Togo Station Airport,-30.0821991,149.5319977
,Wilandra Airport,-31.2833004,142.6670074
,Wallacia Airport,-33.86669922,150.6499939
,Wollomombi Airport,-30.5333004,152.0829926
,Woolomin Airport,-31.31669998,151.1329956
,Westward Downs Airport,-30.72500038,141.3999939
,Yandama Airport,-29.68330002,141.4250031
,Yalda Downs Homestead Airport,-30.26140022,142.977005
,Mount Bundey Airport,-12.89000034,131.9080048
NUB,Numbulwar Airport,-14.27169991,135.7169952
OPI,Oenpelli Airport,-12.32499981,133.0059967
YUE,Yuendumu Airport,-22.25419998,131.7819977
,Andado Airport,-25.4116993,135.2899933
AXL,Alexandria Homestead Airport,-19.06019974,136.7100067
AYL,Anthony Lagoon Airport,-18.01807903,135.5350685
,Annitowa Airport,-21.20000076,136.447998
,Argadargada Airport,-21.67670059,136.6779938
,Areyonga Airport,-24.06669998,132.2669983
AVG,Auvergne Airport,-15.69999981,130
,Avon Downs Airport,-20.0333004,137.5169983
,Bauhinia Downs Airport,-16.13330078,135.4669952
,Birrindudu Airport,-18.38330078,129.4830017
,Bamyili Airport,-14.52000046,132.8829956
,Brunchilly Airport,-18.87000084,134.4620056
BTD,Brunette Downs Airport,-18.63999939,135.9380035
,Bond Springs Airport,-23.51499939,133.8430023
CTR,Cattle Creek Airport,-17.60700035,131.548996
CFI,Camfield Airport,-17.02169991,131.3269958
CKI,Croker Island Airport,-11.16499996,132.4830017
CDA,Cooinda Airport,-12.90330029,132.5319977
DVR,Daly River Airport,-13.7498064,130.6938782
DKV,Docker River Airport,-24.86000061,129.0700073
,Delamere Range Facility Airport,-15.74670029,131.9199982
GBL,South Goulburn Is Airport,-11.64999962,133.3820038
,Haasts Bluff Airport,-23.45499992,131.8529968
,Huckitta Airport,-22.94330025,135.4470062
,Idracowra Airport,-25.06329918,133.7330017
,Innesvale Airport,-15.38329983,131.2669983
,Jervois Airport,-22.91329956,136.1199951
KCS,Kings Creek Airport,-24.42329979,131.8350067
,Kidman Springs Airport,-16.11669922,130.9530029
,Kildurk Airport,-16.43169975,129.6150055
,Killarney Airport,-16.25,131.746994
,Kintore Airport,-23.26499939,129.3869934
,Legune Airport,-15.2166996,129.447998
,Lilla Creek Airport,-25.56669998,134
,Mount Riddock Airport,-23.0333004,134.6829987
,Mereenie Airport,-23.97669983,131.5619965
,Minjilang Airport,-11.1583004,132.5469971
,Mount Denison Airport,-22.14170074,132.0700073
MTD,Mount Sanford Station Airport,-16.97830009,130.5549927
MIY,Mittebah Airport,-18.8093,137.0815
,Mount Borradale Airport,-12.09829998,132.9069977
,Mount Wedge Airport,-22.73719978,132.151001
,Mallapunyah Springs Airport,-16.9666996,135.7830048
,Nabarlek Airport,-12.30830002,133.3130035
,New Crown Airport,-25.66670036,134.8329926
,Nyrripi Airport,-22.64529991,130.5650024
,Mooloola Homestead Airport,-16.33329964,131.5
,Papunya Airport,-23.24670029,131.9029999
,Rabbit Flat Airport,-20.18330002,130.0169983
,Ringwood Airport,-23.82830048,134.9620056
,Raymangirr Airport,-12.33329964,135.6499939
,Soudan Station Airport,-20.04999924,137.0169983
,Santa Teresa Airport,-24.11829948,134.3899994
TBK,Timber Creek Airport,-15.61999989,130.4450073
,Ti Tree Airport,-22.13170052,133.4199982
,Tanami Airport,-19.91670036,129.7250061
,Tanumbirini Airport,-16.45000076,134.6499939
,Urapunga Airport,-14.7166996,134.5670013
WAV,Wave Hill Airport,-17.3932991,131.1179962
,Warrabri Airport,-21,134.3970032
,Walhallow Airport,-17.76670074,135.6499939
WLL,Wollogorang Airport,-17.2199,137.93453
WLO,Waterloo Airport,-16.62999916,129.3200073
,Tempe Downs Airport,-24.38249969,132.4230042
,Yarralin Airport,-16.44470024,130.8809967
,Amburla Airport,-23.33329964,133.1829987
,Alcoota Station Airport,-22.83329964,134.4499969
,Allambie Airport,-24.26670074,134.3999939
,Ampilatwatja Airport,-21.65500069,135.2299957
AMX,Ammaroo Airport,-21.73830032,135.2420044
,Anningie Airport,-21.83169937,133.125
,Arapunya Airport,-22.31669998,135.6999969
,Atula Airport,-23.2833004,136.3670044
,Benmara Airport,-17.93670082,136.8999939
,Barrow Creek Airport,-21.5333004,133.8829956
,Bullo River Valley Airport,-15.4666996,129.7669983
,Cape Crawford Airport,-16.68330002,135.7330017
,Canteen Creek Airport,-20.6508007,135.5850067
,Coniston Airport,-22.13330078,132.5330048
,Cape Don Airport,-11.29829979,131.8269958
,Curtin Springs Airport,-25.31669998,131.75
,Cape Wessels Airport,-11,136.75
,Dhalinbuy Airport,-12.41329956,136.5370026
,Delmore Downs Airport,-22.45859909,134.8840027
,Delamere Station Airport,-15.61999989,131.6369934
,Dneiper Airport,-22.61669922,135.1999969
,Deep Well Airport,-24.29999924,134.1329956
,Derry Downs Airport,-22.08329964,135.3329926
EKD,Elkedra Airport,-21.17250061,135.4440002
,Epenarra Airport,-20.43330002,135.2669983
EDD,Erldunda Airport,-25.2057991,133.2539978
,Gan Gan Airport,-13.06669998,135.9499969
,The Garden Airport,-23.2866993,134.4400024
,Goomadeer Airport,-12.10000038,133.6670074
HUB,Humbert River Airport,-16.4896698,130.6302795
HRY,Henbury Airport,-24.584,133.236
,Hodgson Downs Airport,-15.22169971,134.076004
,Hugh River Airport,-24.41670036,133.6999969
,Howard Island Airport,-12.09500027,135.3619995
,Horseshoe Bend Airport,-25.2166996,134.2669983
,Harts Range Airport,-22.98500061,134.9179993
,Baikal Airport,-22.76329994,136.1629944
,Imanpa Airport,-25.13330078,132.5700073
,Impadna Airport,-25.14999962,133.5829926
,Jinka Airport,-22.95000076,135.7330017
,Jervois Mine Airport,-22.63330078,136.2669983
,Kiana Station Airport,-17.24169922,136.1750031
,Mount Liebig Airport,-23.24329948,131.2599945
,Mount Ebenezer Airport,-25.16670036,132.6329956
MNW,Macdonald Downs Airport,-22.44400024,135.1990051
,Mount Allan Airport,-22.27499962,132.2169952
MSF,Mount Swan Airport,-22.624696,135.034512
,Milton Park Airport,-23.36669922,133
,Mount Skinner Airport,-22.18330002,134.1170044
MUP,Mulga Park Airport,-25.86000061,131.6499939
MKV,Mount Cavenagh Airport,-25.9666996,133.1999969
,Mount Valley Airport,-14.08329964,133.8170013
,Maryvale Airport,-24.65999985,134.0319977
,Murray Downs Airport,-21.04829979,134.6829987
,Nelson Springs Airport,-17.29999924,129.2830048
,New Haven Airport,-22.72830009,131.1450043
,Numery Airport,-23.98329926,135.3999939
,Nudjaburra Airport,-17.9666996,137.9329987
,Narwietooma Airport,-23.23329926,132.6329956
,Old Andado Airport,-25.38330078,135.4170074
,Ooratippra Airport,-21.90579987,136.0690002
,Pigeon Hole Airport,-16.81,131.219
,Palmer Airport,-12.83329964,130.9329987
,Pine Creek Airport,-13.83329964,131.8329926
,Palumpa Airport,-14.33329964,129.8670044
,Redbank Mine Airport,-17.18330002,137.7669983
,Ross River Airport,-23.5991993,134.5169983
,Riveren Airport,-17.89999962,130.2169952
,Saipem Airport,-23.70000076,131.8670044
SHU,Smith Point Airport,-11.14999962,132.1499939
,Supplejack Downs Airport,-19.26670074,129.9499969
,Tanami Downs Airport,-20.57365417,129.7401276
,The Granites Airport,-20.54829979,130.3470001
,Tarlton Downs Airport,-22.63330078,136.8000031
,Umbeara Airport,-25.74670029,133.7019958
,Utopia Airport,-22.05500031,134.7899933
,Utopia Station Airport,-22.23329926,134.5800018
,Vaughan Springs Airport,-22.33329964,130.8670044
,Vashon Head Airport,-11.14999962,131.9830017
,Wilson's Camp Airport,-20.10140038,129.1260071
,Willowra Airport,-21.27669907,132.6230011
,Wallara Ranch Airport,-24.64999962,132.3170013
,Walker River Airport,-13.59329987,135.7550049
AYR,Ayr Airport,-19.58440018,147.3289948
,Century Mine Airport,-18.75329971,138.7070007
DBY,Dalby Airport,-27.15530014,151.2669983
GAH,Gayndah Airport,-25.61440086,151.6190033
IGH,Ingham Airport,-18.66060066,146.1519928
ISI,Isisford Airport,-24.25830078,144.4250031
BBL,Ballera Airport,-27.405633,141.809458
MTQ,Mitchell Airport,-26.48329926,147.9369965
MMM,Middlemount Airport,-22.80249977,148.7050018
MNQ,Monto Airport,-24.88579941,151.1000061
,Williamson Airport,-22.47330093,150.1779938
,Arcadia Airport,-25.20000076,148.6829987
,Alderley Airport,-22.48329926,139.6329956
,Armraynald Airport,-17.9666996,139.7669983
,Answer Downs Airport,-21.66670036,140.9830017
,Ardmore Airport,-21.64999962,139.1829987
,Arizona 1 Airport,-21.66670036,141.5670013
AAB,Arrabury Airport,-26.693023,141.047771
BKP,Barkly Downs Airport,-20.49583333,138.4747222
BTX,Betoota Airport,-25.64170074,140.7830048
,Budgerygar Airport,-25.37000084,143.772995
,Bushy Park Airport,-21.26670074,139.7169952
,Biggenden Airport,-25.52499962,152.0500031
,Bellalie Airport,-27.0333004,142.9499969
BLS,Bollon Airport,-28.05830002,147.4830017
BFC,Bloomfield River Airport,-15.87360001,145.3300018
,Bannockburn Airport,-21.79999924,145.0829926
,Bodalla Airport,-26.29999924,143.3829956
,Boatman Airport,-27.25,146.9170074
BMP,Brampton Island Airport,-20.80330086,149.2700043
,Brighton Downs Airport,-23.35000038,143.5330048
,Bundarra Airport,-21.9666996,148.5330048
,Bulleringa Airport,-17.64999962,143.8000031
,Burdekin Falls Dam Airport,-20.60000038,147.0829926
ZBO,Bowen Airport,-20.0182991,148.2149963
,Daintree Airport,-16.21934128,145.4247284
,Childers Airport,-25.25308007,152.3353958
,Carandotta Airport,-21.9666996,138.6170044
CQP,Cape Flattery Airport,-14.970832,145.311667
,Clonagh Airport,-20.13330078,140.6829987
,Conjuboy Airport,-18.68330002,144.75
,Camel Creek Airport,-18.85000038,145.4669952
CDQ,Croydon Airport,-18.22500038,142.2579956
KCE,Collinsville Airport,-20.59670067,147.8600006
,Chatsworth Airport,-21.9666996,140.3000031
,Cooloola Village Airpark,-25.97500038,153
,Dagworth Airport,-17.94169998,143.5879974
DNB,Dunbar Airport,-16.04999924,142.3999939
,Devoncourt Airport,-21.2166996,140.2330017
,Dimbulah Airport,-17.13330078,145.0829926
,Dulacca Airport,-26.63330078,149.7169952
DDN,Delta Downs Airport,-16.99169922,141.3170013
,Doongmabulla Airport,-22.06669998,146.2330017
,Dynevor Downs Airport,-28.10000038,144.3500061
,Donors Hill Airport,-18.7166996,140.5500031
,Donnington Airpark,-19.61170006,146.8399963
DHD,Durham Downs Airport,-27.07500076,141.8999939
DRR,Durrie Airport,-25.68499947,140.2279968
,Elderslie Airport,-15.7,145.1
,Eromanga Airport,-26.70000076,143.2669983
,Epsilon Airport,-28.2833004,141.1999969
,Escott Airport,-17.72500038,139.4170074
,Eulo Airport,-28.16670036,145.0420074
,Forsayth Airport,-18.58480072,143.5690002
GBP,Gamboola Airport,-16.54999924,143.6670074
,Galdeville Airport,-20.25,142.4499969
,Glen Garland Airport,-14.86670017,143.2830048
,Gregory Springs Airport,-19.7166996,144.3829956
,Glen Harding Airport - CLOSED,-18.248608,145.125958
GLG,Glengyle Airport,-24.80830002,139.6000061
GLM,Glenormiston Airport,-22.88829994,138.8249969
,Granada Airport,-20.10000038,140.3670044
,Gunpowder Airport,-19.70000076,139.3670044
,Glen Ruth Airport,-18.08329964,145.3999939
,Gunnawarra Airport,-17.95000076,145.1670074
,Galway Downs Airport,-25.18330002,142.6670074
HIG,Highbury Airport,-16.42440033,143.1459961
,Hillgrove Airport,-19.64249992,145.7969971
,Hollins Bay Airport,-22.26670074,150.0330048
,Hungerford Airport,-28.98329926,144.4499969
,Herberton Airport,-17.43330002,145.3999939
,Harvest Home Airport,-20.68330002,146.6499939
IKP,Inkerman Airport,-16.27499962,141.4420013
,Inverleigh Airport,-18.01670074,140.5670013
,Isis Downs Airport,-24.2166996,144.6170044
,Jackson Airport,-27.63829994,142.4080048
,Jacobs Well Airport,-27.76169968,153.3350067
,Jonroy Airport,-16.5,144.3999939
,Jericho Airport,-23.58329964,146.1670074
,Jowalbinna Airport,-15.73330021,144.2669983
,Kajabbi Airport,-20.0333004,140.0330048
,Kooralbyn Airport,-28.09000015,152.8450012
,Kingfisher Camp Airport,-17.86879921,138.2949982
,Kidston Airport,-18.87000084,144.1730042
,Kaiuroo Airport,-23.088925,149.431925
KOH,Koolatah Airport,-15.88860035,142.4389954
,Kalinga Airport,-15.19999981,143.8500061
,Kallala Airport,-21.75,138.8829956
,Killarney Airport,-15.39999962,143.5
KML,Kamileroi Airport,-19.375,140.0570068
,Kendall River Airport,-13.75,142.1829987
,Kurray Airport,-28.21999931,148.5780029
,Kynuna Airport,-21.60000038,141.9170074
,Laglan Airport,-22.5,146.6670074
,Lucky Downs Airport,-18.91670036,145
,Langlo Downs Airport,-25.5333004,145.7669983
,Lily Vale Airport,-14.48330021,143.6670074
LOA,Lorraine Airport,-18.99329948,139.9069977
LUU,Laura Airport,-15.55000019,144.4499969
LUT,New Laura Airport,-15.18330002,144.3670044
,Lansdowne Airport,-25.04999924,146.2669983
,Laverak (Military) Airport,-19.32169914,146.802002
,Mckinley Airport,-21.2833004,141.2879944
,Mount Coolon Airport,-21.39170074,147.3249969
,Macrossan Airport,-20.01670074,146.4830017
,Mount Howitt Airport,-26.51169968,142.2830048
,Minnamoolka Airport,-18.18330002,145.1670074
,Millmerran Airport,-27.86330032,151.2749939
,Mount Margaret Airport,-26.93330002,143.3170013
ONR,Monkira Airport,-24.81669998,140.5330048
OXY,Morney Airport,-25.35829926,141.4329987
OOR,Mooraberree Airport,-25.25,140.9830017
,Mount Cooper Airport,-20.51670074,146.7669983
,Mount Garnet Airport,-17.70000076,145.1499939
,Mount Surprise Airport,-18.12630081,144.2850037
UTB,Muttaburra Airport,-22.58329964,144.5330048
,Monduran Airport,-24.875,151.9170074
,Morven Airport,-26.39999962,147.1000061
,Mary Valley Airport,-15.05000019,143.75
,Nanango Airport,-26.69000053,151.9830017
NMR,Nappa Merrie Airport,-27.55830002,141.1329956
,Noccundra Airport,-27.79999924,142.5829926
,Natal Downs Airport,-21.08329964,146.1499939
,Norfolk Airport,-19.33329964,138.3329926
,Nooyeah Downs Airport,-28.04999924,143.5829926
,Oaky Creek Airport,-23.05999947,148.4949951
,Ourdel Airport,-25.35000038,142.6329956
,Orielton Airport,-22.06669998,144.1499939
,Oakvale Airport,-22.26670074,145.9830017
,Omicron Station Airport,-28.76670074,141.1999969
,Ootann Airport,-17.43330002,144.6329956
,Pinnacle Airport,-15.66670036,143.5500031
,Plevna Downs Airport,-26.66670036,142.5829926
,Rocklands Airport,-19.86669922,138.1000061
,Rolleston Airport,-24.46170044,148.6320038
RSB,Roseberth Airport,-25.83329964,139.6499939
,Rosevale Resort Airport,-27.13330078,145.8999939
RTP,Rutland Plains Airport,-15.64330006,141.8430023
,Sudley Airport,-12.75,142.3670044
ZGL,South Galway Airport,-25.68330002,142.1080017
STH,Strathmore Airport,-17.85000038,142.5670013
,Springfield Airport,-24.29999924,144.8829956
,Springsure Airport,-24.12829971,148.0749969
SCG,Spring Creek Airport,-18.63330078,144.5670013
KSV,Springvale Airport,-23.54999924,140.6999969
,Surat Airport,-27.14999962,149.0829926
,Strathburn Airport,-14.48169994,142.8170013
,Stonehenge Airport,-24.35829926,143.3000031
,Strathaven Airport,-14.89999962,142.9669952
XTR,Tara Airport,-27.15670013,150.477005
XTO,Taroom Airport,-25.80170059,149.8999939
TYG,Thylungra Airport,-26.08329964,143.4669952
,Trinidad Airport,-25.60000038,143.9170074
,Toorak Research Station Airport,-21.04170036,141.7870026
,Toliness Airport,-25.32145119,146.0688171
,Toomba Airport,-19.93330002,145.5829926
,Tarcombe Airport,-24.08329964,143.3999939
,Ti Tree Airport,-13.98499966,141.6569977
,Trugananni Airport,-24.4666996,149.2669983
,Trelawney Airport,-22.85000038,146.7169952
,Undilla Airport,-19.625,138.6329956
CZY,Cluny Airport,-24.51670074,139.6170044
,Valley of Lagoons Airport,-18.66670036,145.1000061
VNR,Vanrook Station Airport,-16.9633007,141.9499969
,Wattle Hills Airport,-12.63329983,143.0500031
,Wyandotte Airport,-18.75,144.8329926
,Wellclose Airport,-25.85000038,145.1000061
,Wernadinga Airport,-18.13330078,139.9669952
,Westmoreland Airport,-17.33329964,138.2330017
WPK,Wrotham Park Airport,-16.6583004,144.0019989
,Wathanin Airport,-13.69999981,141.5500031
,Wandsworth Airport,-25.04999924,143.6670074
,Watson River Airport,-13.2166996,142.2330017
,Wentworth Airport,-22.10000038,147.6999969
,Wyandra Airport,-27.26670074,145.9900055
,Yacamunda Airport,-21.38330078,147.1000061
,Yarrabee Mine Airport,-23.26670074,149.0169983
,Yowah Airport,-27.93330002,144.6170044
,Crystal Brook Airport,-17.45000076,144.4499969
,Yandan Mine Airport,-21.27333333,146.99
,Albilbah Airport,-24.70000076,144.2830048
,Augathella Airport,-25.75499916,146.5870056
,Battery Downs Airport,-19.43330002,145.8500061
BVW,Batavia Downs Airport,-12.65919971,142.6750031
,Bayswater Airport,-25.45000076,145.5829926
,Cannington Station Airport,-21.875,140.8999939
,Caldervale Station Airport,-25.10829926,146.8329926
,Clifton Airport,-27.928301,151.847
,Consuelo Airport,-24.63330078,148.4669952
,Calton Hills Airport,-20.13330078,139.4170074
,Cuddapan Airport,-25.59000015,141.5079956
,Corowa Downs Airport,-26.4666996,143.3500061
,Crystal Brook Airport,-17.38330078,144.4499969
,Emu Park Airport,-23.25670052,150.8130035
,Hideaway Bay Airport,-20.11669922,148.4329987
HAT,Heathlands Airport,-11.73690033,142.5769959
,Kencherang Airport,-13.84500027,141.5919952
,Lyndley Airport,-26.83329964,151.2330017
,Maitland Downs Airport,-16.22330093,144.7030029
,Merapah Airport,-13.7166996,142.4170074
,Millungera Airport,-19.85829926,141.5619965
,Maneroo Airport,-23.36669922,143.8829956
,Nockatunga Airport,-27.7166996,142.7120056
,Naryilco Airport,-28.54999924,141.9170074
,Navarra Airport,-24.85000038,143.6999969
,Pacific Haven Airport,-25.23670006,152.5429993
,Pittsworth Airport,-27.7208004,151.6329956
,Raymore Homestead Airport,-26.14999962,143.0169983
,Stanbroke Airport,-21.56669998,139.7169952
,Strathgordon Airport,-14.79500008,142.4329987
,Strathleven Airport,-15.89830017,143.3829956
,Strathmay Airport,-14.88329983,142.802002
,Southwell Airport,-14.51669979,142.0330048
,Silver Hills Airport,-20.61669922,143.0829926
TAN,Tangalooma Airport,-27.12999916,153.3630066
,Torres Park Homestead Airport,-25.11669922,147.1670074
,Tully Airport,-17.93330002,145.9170074
,Talavera Airport,-19.2166996,143.6670074
,Violet Vale Airport,-14.73330021,143.5829926
WSY,Whitsunday Island Airport,-20.27611,148.755
,Wirralie Gold Mine Airport,-21.11669922,147.2669983
,Wooroona Airport,-20.4817009,138.1679993
,Wirralie Airport,-22.27000046,146.0500031
,Tangalooma Resort Airport,-27.20000076,153.3829956
,Cummins Airport,-34.20830154,135.6419983
MLR,Millicent Airport,-37.58359909,140.3659973
MRP,Marla Airport,-27.33329964,133.6269989
ADO,Andamooka Airport,-30.438299,137.136993
AMT,Amata Airport,-26.10829926,131.2070007
,Anna Creek Airport,-28.89669991,136.1699982
,Ardrossan Airport,-34.44718889,137.8882917
,Beverley Airport,-30.18670082,139.5579987
LCN,Balcanoona Airport,-30.53499985,139.3370056
,Bollards Lagoon Airport,-28.98329926,140.8500061
,Booleroo Centre Airport,-32.90499878,138.3600006
,Cape Borda Airport,-35.75669861,136.5980072
,Callendale Airport,-37.24330139,140.4450073
,Cooranga Airport,-36.81999969,140.272995
,Coonawarra Airport,-37.28329849,140.8000031
,Coffin Bay Airport,-34.63330078,135.5169983
,Carrieton Airport,-32.41669846,138.5169983
,Calvin Grove Airport,-34.69670105,138.5780029
ERB,Ernabella Airport,-26.26329994,132.1820068
,Erudina Airport,-31.43449974,139.4250031
,Everard Park Airport,-27.01670074,132.7169952
,Farrell Flat Airport,-33.83330154,138.7669983
,Frome Downs Airport,-31.2166996,139.75
,Fregon Airport,-26.77499962,132.0169983
GTS,Granite Downs Airport,-26.94829941,133.6069946
IDK,Indulkana Airport,-26.9666996,133.3249969
,Kenmore Park Airport,-26.33329964,132.4669952
,Lameroo Airport,-35.36669922,140.5500031
,Mooleulooloo Airport,-31.63330078,140.5330048
,Lyndoch Airport,-34.62170029,138.9140015
,Mount Davies Airport,-26.16670036,129.1329956
,Mintabie Airport,-27.32830048,133.3049927
XML,Minlaton Airport,-34.75,137.5330048
,Murnpeowie Airport,-29.5916996,139.052002
MIN,Minnipa Airport,-32.84329987,135.1450043
,Mount Hope Airport,-34.13669968,135.3379974
RTY,Merty Merty Airport,-28.58329964,140.3170013
,Nypari Airport,-26.20000076,130.2330017
ODD,Oodnadatta Airport,-27.56170082,135.4470062
,Orroroo Airport,-32.77330017,138.6649933
PDE,Pandie Pandie Airport,-26.11669922,139.3999939
,Plumbago Airport,-32.05329895,139.871994
,Pinnaroo Airport,-35.25329971,140.9429932
,Quorn Airport,-32.31999969,138.102005
,Yardea Airport,-32.40999985,135.4850006
,Roxby Downs Station Airport,-30.7166996,136.7369995
,Stonefield Gliding,-34.341667,139.30833
,Snowtown Airport,-33.79999924,138.3670044
,Strathearn Airport,-31.76670074,140.3329926
,Tumby Bay Airport,-34.36169815,136.0950012
,Tieyon Airport,-26.2166996,133.9170074
,Wertaloona Airport,-30.64999962,139.3500061
,Wirrealpa Airport,-31.13330078,138.9669952
,Yunta Airport,-32.58330154,139.5500031
,Dalhousie Airport,-26.42900085,135.5059967
,Blinman Airport,-31.11860085,138.7259979
CWR,Cowarie Airport,-27.71170044,138.3280029
,Quarry2 Airport,-30.29220009,134.5269928
AWN,Alton Downs Airport,-26.5333004,139.2669983
,Arckaringa Airport,-27.94669914,134.7449951
,Angatja Airport,-26.10000038,130.3999939
,Bon Bon Airport,-30.40670013,135.4799957
,Birthday Siding Airport,-30.2833004,134.5169983
,Barmera Airport,-34.25669861,140.4579926
,Barton Siding Airport,-30.52499962,132.6600037
,Bulgunnia Airport,-30.18670082,134.9029999
,Coondambo Airport,-31.06669998,135.8829956
