iata,name,latitude,longitude
DBO,Dubbo City Regional Airport,-32.21670151,148.5749969
NAA,Narrabri Airport,-30.31920052,149.8269959
NTN,Normanton Airport,-17.68409,141.069664
PPP,Proserpine Whitsunday Coast Airport,-20.49500084,148.552002
WYA,Whyalla Airport,-33.05889893,137.5140076
HGD,Hughenden Airport,-20.81500053,144.2250061
KRB,Karumba Airport,-17.45669937,140.8300018
OLP,Olympic Dam Airport,-30.48500061,136.8769989
,RAAF Base Amberley,-27.6406,152.712006
GUH,Gunnedah Airport,-30.96109962,150.2510071
KPS,Kempsey Airport,-31.07439995,152.7700043
TYB,Tibooburra Airport,-29.4510994,142.0579987
BLN,Benalla Airport,-36.55189896,146.0070038
HLT,Hamilton Airport,-37.64889908,142.0650024
FOS,Forrest Airport,-30.83810043,128.1150055
DNQ,Deniliquin Airport,-35.55939865,144.9459991
IVR,Inverell Airport,-29.88829994,151.1439972
SXE,West Sale Airport,-38.090827,146.965335
TWB,Toowoomba Airport,-27.542801,151.916
CBX,Condobolin Airport,-33.06439972,147.2089996
,Hoxton Park Airport,-33.90969849,150.852005
NYN,Nyngan Airport,-31.55109978,147.2030029
,Crookwell Airport,-34.5,149.4499969
BOX,Borroloola Airport,-16.07530022,136.302002
,Katherine Gorge Airport,-14.38860035,132.3930054
GOO,Goondiwindi Airport,-28.52140045,150.3200073
LZR,Lizard Island Airport,-14.673273,145.454571
SHQ,Southport Airport,-27.922054,153.372143
,Goolwa Airport,-35.4817009,138.7519989
WMB,Warrnambool Airport,-38.29529953,142.4470062
,Barwon Heads Airport,-38.258056,144.4275
,Milawa Vineyard Airport,-36.45619687,146.433063
,Lethbridge Airpark,-37.921233,144.103058
XMC,Mallacoota Airport,-37.59830093,149.7200012
,Augusta Airport,-34.36669922,115.1500015
,Wagin Airport,-33.33330154,117.3669968
,Wave Rock Airport,-32.42670059,118.9079971
,Coldstream Airport,-37.72766876,145.408371
CIE,Collie Airport,-33.36669922,116.2170029
,Dwellingup Airstrip,-32.69269943,116.0749969
,Mount Beauty Airport,-36.73157568,147.1689034
NRG,Narrogin Airport,-32.93000031,117.0800018
,Warnervale Airport,-33.240278,151.429722
,Wyalkatchem Airport,-31.2026341,117.3788738
OKY,Oakey Airport,-27.41139984,151.7350006
BEU,Bedourie Airport,-24.34609985,139.4600067
BCI,Barcaldine Airport,-23.56529999,145.3070068
BKQ,Blackall Airport,-24.42779922,145.4290009
CUQ,Coen Airport,-13.761133,143.113311
OOM,Cooma Snowy Mountains Airport,-36.30059814,148.973999
EPR,Esperance Airport,-33.684399,121.822998
HID,Horn Island Airport,-10.58640003,142.2899933
IRG,Lockhart River Airport,-12.7869,143.304993
MYA,Moruya Airport,-35.89780045,150.1439972
MHU,Mount Hotham Airport,-37.04750061,147.3339996
ZNE,Newman Airport,-23.4178009,119.8030014
GOV,Gove Airport,-12.26939964,136.8179932
TCA,Tennant Creek Airport,-19.63439941,134.1829987
WEI,Weipa Airport,-12.67860031,141.9250031
,RAAF Base Pearce,-31.6678009,116.0149994
BUC,Burketown Airport,-17.74860001,139.5339966
JCK,Julia Creek Airport,-20.66830063,141.7230072
AUU,Aurukun Airport,-13.354067,141.72065
FLS,Flinders Island Airport,-40.09170151,147.9929962
MBH,Maryborough Airport,-25.5133,152.714996
CMD,Cootamundra Airport,-34.62390137,148.0279999
GLI,Glen Innes Airport,-29.67499924,151.6889954
HXX,Hay Airport,-34.53139877,144.8300018
NOA,Nowra Airport,-34.94889832,150.5370026
KGY,Kingaroy Airport,-26.5807991,151.8410034
MRG,Mareeba Airport,-17.06920052,145.4190063
LGH,Leigh Creek Airport,-30.59830093,138.4259949
ARY,Ararat Airport,-37.30939865,142.9889984
CYG,Corryong Airport,-36.18280029,147.8880005
HSM,Horsham Airport,-36.66970062,142.1730042
SWC,Stawell Airport,-37.07170105,142.7409973
,RAAF Base Edinburgh,-34.70249939,138.6210022
TRO,Taree Airport,-31.8885994,152.5140076
TCW,Tocumwal Airport,-35.81169891,145.6080017
,Bindook NDB,-34.166698,150.100006
,Boomi Airport,-28.73329926,149.5829926
CRB,Collarenebri Airport,-29.52169991,148.5820007
,Holbrook Airport,-35.68330002,147.3170013
,Jerilderie Airport,-35.36999893,145.7250061
,Lake Cargelligo Airport,-33.27830124,146.3699951
,South Grafton Airport,-29.70829964,152.9279938
,The Oaks Airport,-34.08390045,150.5590057
JAB,Jabiru Airport,-12.6583004,132.8930054
DLV,Delissaville Airport,-12.55000019,130.6849976
,Mararanka Homestead Airport,-14.93169975,133.125
LLG,Chillagoe Airport,-17.14279938,144.529007
CXT,Charters Towers Airport,-20.04310036,146.272995
GYP,Gympie Airport,-26.28280067,152.7019958
,Adels Grove Airport,-18.70000076,138.5330048
,Caboolture Airport,-27.08329964,152.9830017
NSV,Noosa Airport,-26.42329979,153.0630035
JHQ,Shute Harbour Airport,-20.277221,148.755556
WDI,Wondai Airport,-26.2833004,151.8580017
KBY,Streaky Bay Airport,-32.83580017,134.2929993
,Arkaroola Airport,-30.40670013,139.345993
,Loxton Airport,-34.47499847,140.6629944
,Murray Bridge Airport,-35.06669998,139.227005
,William Creek Airport,-28.90670013,136.3419952
,Strathalbyn Airport,-35.31169891,138.9900055
,Bathurst Harbour Airport,-43.42070007,146.1560059
,Maryborough Airport,-37.03310013,143.7089996
,Castlemaine Airport,-37.13330078,144.1670074
GEX,Geelong Airport,-38.22499847,144.3329926
,Locksley Field,-36.81499863,145.3480072
,Lilydale Airport,-37.69169998,145.3670044
RBS,Orbost Airport,-37.79000092,148.6100006
,Porepunkah Airport,-36.71773071,146.8900394
,Elmore Airport,-36.49017938,144.6471977
DOX,Dongara Airport,-29.298128,114.927334
EXM,Exmouth Airport,-22.0333004,114.0999985
JUR,Jurien Bay Airport,-30.301629,115.055914
,Northam Airport,-31.62999916,116.6829987
,Catholic Agricultural College Bindoon Airstrip,-31.34029961,116.1880035
,Kulin Airport,-32.67219925,118.1689987
,Lily Dutch Windmill Airstrip,-34.22500229,118.2161484
NKB,Noonkanbah Airport,-18.49469948,124.8519974
,Border Village Airport,-31.63940048,129.0119934
,Bremer Bay Airport,-34.38056183,119.3319473
,Karijini National Park,-22.4871006,118.4680023
HWK,Wilpena Pound Airport,-31.85590744,138.4680786
,Hubert Wilkins Airstrip,-33.19208451,138.6155319
LFP,Lakefield Airport,-14.9207,144.203
,Mangrove Mountain Airport,-33.285122,151.212738
,Melton Airport,-37.61669922,144.5670013
,Kyabram Airport,-36.33248237,144.9720669
,Riddell Airport,-37.48,144.718002
,Penfield Airfield,-37.51330185,144.697998
,Torquay Airport,-38.29999924,144.3650055
,Truro Flat Airpark,-34.39830017,139.3849945
,Midway,-32.672544,115.789526
,White Gum Air Park,-31.863947,116.936094
CNB,Coonamble Airport,-30.98329926,148.3760071
LHG,Lightning Ridge Airport,-29.45669937,147.9839935
BQL,Boulia Airport,-22.91329956,139.8999939
CMA,Cunnamulla Airport,-28.03000069,145.621994
XTG,Thargomindah Airport,-27.9864006,143.8110046
WNR,Windorah Airport,-25.41309929,142.6670074
THG,Thangool Airport,-24.4939003,150.576004
MJK,Shark Bay Airport,-25.89389992,113.5770035
ELC,Elcho Island Airport,-12.01939964,135.5709991
EMD,Emerald Airport,-23.56749916,148.1790009
GLT,Gladstone Airport,-23.869699,151.223007
GTE,Groote Eylandt Airport,-13.97500038,136.4600067
LNO,Leonora Airport,-28.87809944,121.3150024
MNG,Maningrida Airport,-12.05609989,134.2339935
NRA,Narrandera Airport,-34.70220184,146.5119934
DMD,Doomadgee Airport,-17.9403,138.822006
ONG,Mornington Island Airport,-16.66250038,139.1779938
PMK,Palm Island Airport,-18.75530052,146.5809937
RCM,Richmond Airport,-20.70190048,143.1150055
SRN,Strahan Airport,-42.15499878,145.2920074
KAX,Kalbarri Airport,-27.692813,114.259169
MCV,McArthur River Mine Airport,-16.44249916,136.0839996
MGT,Milingimbi Airport,-12.09440041,134.8939972
UMR,Woomera Airfield,-31.14419937,136.8170013
,RAAF Base East Sale,-38.09889984,147.1490021
BZD,Balranald Airport,-34.62360001,143.5780029
GFN,Grafton Airport,-29.75939941,153.0299988
